Longtitude,Latitude,Elevation(meter),Accumulation(millimeter),Temperature minimum(degree C),Temperature minimum(degree C),Accumulation(Spring seasonal mean),Temperature minimum(Spring seasonal mean),Temperature minimum(Spring seasonal mean)
-109.1,36.9,1580,0,33,17.4,1.8,20.56666667,4.7
-103.15,40.15,1385,2.9,32.5,13.6,8.3,16,-1.2
-103.17,40.12,1398,NA,NA,NA,NA,NA,NA
-105.88,37.47,2297,NA,NA,NA,NA,NA,NA
-105.85,37.43,2298,2.3,27.2,6.7,1.8,14.83333333,-4.733333333
-105.53,40.2,2590,NA,NA,NA,NA,NA,NA
-105.88,39,2724,3.9,NA,NA,NA,10.33333333,-7.6
-105.27,40.03,1638,NA,NA,NA,NA,NA,NA
-106.83,39.18,2413,NA,25.2,7.8,NA,11.2,-3.6
-105.48,39.4,2358,4.3,26.3,6.6,11.5,12.43333333,-4.5
-105.78,39.8,3448,NA,NA,NA,NA,NA,NA
-105.52,37.43,2361,3,27.4,8.6,5.4,14.53333333,-3.1
-106.68,39.88,2044,NA,NA,NA,NA,NA,NA
-102.18,39.62,1113,7.9,32.4,15.8,9.1,17.2,0.3
-105.27,40,1672,2.9,29.6,13.5,22.6,16.4,0.966666667
-103.88,37.02,1918,NA,NA,NA,NA,NA,NA
-104.33,40.65,1488,7.1,31.9,13.6,6.3,16.9,-1.233333333
-104.83,39.98,1519,7,NA,NA,NA,16.63333333,-0.033333333
-108.92,40.8,1632,0.5,32.1,4.6,6.1,NA,NA
-106.13,38.83,2434,2.4,NA,NA,7.6,NA,NA
-102.27,39.3,1272,6.5,33.1,15.1,5.1,16.96666667,-0.166666667
-104.22,39.7,1586,10,NA,NA,8.4,NA,NA
-105.7,39.65,3056,5.1,20.2,2.4,16.9,6.8,-9.8
-104.33,39.05,1986,NA,NA,NA,NA,NA,NA
-105.23,38.42,1625,8,31.7,14.1,11.3,18.5,0.966666667
-104.87,39.37,1894,3,29.9,12.1,9.5,15.06666667,-1.466666667
-107.93,38.9,1885,NA,NA,NA,NA,NA,NA
-106.12,37.75,2339,1.8,25.7,7.6,1.7,14.26666667,-2.9
-105.28,39.22,2097,3.6,29.4,3.8,10.9,14.93333333,-8.1
-104.85,39.65,1721,16.1,33.8,12.5,9.1,17.7,-1.766666667
-102.35,38.82,1295,10.7,32.3,15.2,5.3,16.2,0.4
-107.52,38.4,2208,1.7,NA,NA,NA,NA,NA
-106.2,39.38,3445,2.8,NA,NA,18.2,NA,NA
-106.77,38.43,2438,2.6,26.8,5.3,7.1,12.3,-6.233333333
-107.97,39.25,1823,1.8,29.7,10.6,16.7,16.53333333,-0.366666667
-108.73,39.1,1763,3.3,32.8,13.4,12,NA,NA
-104.83,38.85,1861,NA,NA,NA,NA,NA,NA
-104.7,38.82,1881,11.8,29.7,13.1,12.2,14.56666667,-0.5
-106.03,37.13,2410,NA,NA,NA,NA,NA,NA
-108.57,37.35,1885,3.1,NA,NA,NA,NA,NA
-107.6,40.45,1963,3.9,NA,NA,16.1,NA,NA
-106.97,38.87,2705,2,23.2,3.5,16.9,7.666666667,-8
-105.68,37.98,2474,7.2,28.4,9.7,5.2,15.13333333,-1.6
-105.18,38.75,2901,NA,NA,NA,NA,NA,NA
-104.02,37.63,1552,NA,NA,NA,NA,NA,NA
-106.35,37.67,2402,3.8,25.5,8.3,4.4,13.96666667,-2.666666667
-108.07,38.75,1562,0.8,NA,NA,6.7,19.1,1.233333333
-104.88,39.77,1615,15.6,31.4,14.8,12.1,16.63333333,1.066666667
-105,39.75,1611,NA,NA,NA,NA,NA,NA
-106.03,39.63,2763,3.1,22.7,3.1,12.4,8.866666667,-7.8
-108.97,40.23,1805,1.4,31.2,13,10.5,15.13333333,-0.033333333
-107.88,37.28,2012,5.6,29.9,9.8,9.3,17.96666667,-1.333333333
-102.78,38.48,1284,4.3,33.6,15,6.7,18.2,-0.366666667
-106.83,39.67,1982,NA,NA,NA,NA,NA,NA
-105.08,39.75,1662,NA,30.7,12.8,NA,17.1,0.1
-104.55,39.22,2071,NA,NA,NA,NA,NA,NA
-105.52,40.38,2364,NA,NA,NA,NA,NA,NA
-105.32,39.63,2135,4.9,27.5,6.9,16,14.1,-3.9
-102.07,37.03,1092,NA,NA,NA,NA,NA,NA
-105.13,38.38,1583,NA,NA,NA,NA,NA,NA
-103.68,38.55,1446,NA,NA,NA,NA,NA,NA
-104.77,38.68,1789,2.3,31.8,14.4,13,NA,NA
-105.08,40.58,1525,17,29.9,13.4,12.3,16.56666667,0.5
-108.05,37.23,2321,8.8,28.3,9.1,9.7,14.53333333,-2.4
-104.72,40.08,1495,NA,NA,NA,NA,NA,NA
-103.8,40.22,1320,7.9,32.9,15.5,9.5,17.4,0.533333333
-105.83,39.95,2610,NA,NA,NA,NA,NA,NA
-108.75,39.17,1366,0.7,33.2,12.6,8.7,19.26666667,-0.433333333
-105.7,39.7,2614,2.8,24.9,7.8,17.1,10.8,-3.666666667
-107.32,39.52,1800,4.5,30.6,11.1,12.6,17.33333333,0.2
-108.53,39.12,1479,0.7,NA,NA,10.7,NA,NA
-108.58,39.07,1409,5.3,NA,NA,NA,NA,NA
-105.83,40.27,2556,5.6,25.2,4.3,18.9,10.8,-6.3
-105.85,40.25,2556,5.7,23.9,5.1,12.3,9.133333333,-7.2
-108.05,39.45,1552,NA,NA,NA,NA,NA,NA
-105.68,39.47,2650,3.7,24.9,6.4,11.2,10.63333333,-4.7
-105.53,37.72,2475,5.4,26.4,10.1,10.1,13,-1.5
-104.68,40.42,1418,NA,NA,NA,NA,NA,NA
-104.7,40.42,1418,5.8,32.4,14.9,9.1,17.86666667,1.6
-106.33,39.88,2367,2.3,25.6,5.7,16.2,10.3,-5.033333333
